	NEPHTYS CAECA	NCBI:36120	Nephtys
	Leptochela cf bermudensis	WORMS:514080	Leptochela
	Synodontis	NCBI:1273066	Synodontis
	Microcystis flos-aquae	OTT:399123	Microcystis flos-aquae
	Leptocephalus	WORMS:843624	Leptocephalus
	macrophthalmus	WORMS:106969	Macrophthalmus
	COLEOPTERA (unidentified) (FRGAMENT)	NCBI:1187202	Coleoptera
	Lampetra planeri	OTT:836800	Lampetra
	Heteromastus	GBIF:7236626	Heteromastus
	Calanus minor	NCBI:134924	Nannocalanus minor
	Lucifer typus	ITIS:95915	Lucifer
	coleopteran	NCBI:1187195	Coleoptera
	Onykia robsoni	WD:Q2458109	Moroteuthis robsoni
	Phidiana pugnax	WD:Q5040453	Phidiana pugnax
	Mithrax	WORMS:450367	Mithrax
	atyid shrimps	IRMNG:116589	Haminoeidae
	grasshopper	IRMNG:1033694	Austracris
	Cardita sp.	GBIF:2286618	Cardita
	Macrura larva	GBIF:2688097	Pyramimonas
	Ophelina sp.	OTT:4974661	Ophelina
	Squilla sp.	IRMNG:1321716	Squilla
	Tortanus discaudatus	GBIF:2115556	Tortanus discaudatus
	Gammarus oceanicus	GBIF:2218440	Gammarus
	Small crabs	OTT:4809449	Small
	Triggerfish	FBC:FB:SpecCode:13533	Sufflamen verres
	Tricolia kochi	IRMNG:1410230	Trichoptera
	Dipteran (not Chironomidae) larvae	NCBI:1187372	Diptera
	Dipteran (not Chironomidae) larvae	NCBI:7147	Diptera
	Evadne	GBIF:3244012	Evadne
	terrestrial Hymenoptera	NCBI:1187573	Hymenoptera
	DITRUPA SPP	IRMNG:1134853	Ditrupa
	Insect	NCBI:1286942	Insect
	HYMENOPTERA	NCBI:1187560	Hymenoptera
	Zoanthus flosmarinus	OTT:302050	Zoanthus
	terrestrial hymenopterans	NCBI:1187551	Hymenoptera
NODC:5708	Octopoda (octopus)	IRMNG:1146242	Octopoda
	ETEONE LONGA	OTT:329840	Eteone longa
	Dissostichus mawsoni	IRMNG:10663427	Dissostichus mawsoni
	Herring	IRMNG:10151239	Anchoa spinifer
	MYSIS	IRMNG:1438377	Mysis
	Ling	WD:Q882968	Molva dypterygia
	Carassius auratus	OTT:691443	Carassius auratus
	Unidentifiable crab	GBIF:3238729	Brachyura
	Diptera pupae	NCBI:1187382	Diptera
	Diptera pupae	NCBI:1187391	Diptera
	Cricotopus spp.	OTT:5823905	Cricotopus
	Conus	WD:Q1247092	Conus
	Terrestrial Diptera	NCBI:1187330	Diptera
	Terrestrial Diptera	NCBI:1187390	Diptera
	chaetonagths	GBIF:55	Chaetognatha
	BRACHYCENTRUS SPP	NCBI:41035	Brachycentrus
	Diptera  juveniles	NCBI:1187376	Diptera
	Chironomus	OTT:866673	Chironomus
	Krefftichthys anderssoni	WORMS:217697	Electrona antarctica
	Stenosemellla spp.	GBIF:8419921	Stenosemella
